Team,Win,Loss,Offense,Standings,Stats
GSW,22.33,5.0,18.03,11.37,22.48
ATL,20.0,7.33,16.82,10.4,21.11
LAC,18.67,8.67,17.5,10.76,20.31
HOU,18.67,8.67,17.04,10.11,18.2
SAS,18.33,9.0,16.92,10.69,20.0
MEM,18.33,9.0,16.12,10.32,17.77
CLE,17.67,9.67,16.91,10.3,18.14
POR,17.0,10.33,16.86,10.58,17.99
DAL,16.67,10.67,17.26,10.85,18.46
CHI,16.67,10.67,16.53,10.0,17.81
TOR,16.33,11.0,17.05,10.36,17.01
WAS,15.33,12.0,16.16,10.46,19.69
OKC,15.0,12.33,17.05,10.61,16.81
NOP,15.0,12.33,16.29,10.36,18.06
MIL,13.67,13.67,16.05,10.28,19.32
BOS,13.33,14.0,16.62,10.64,20.09
PHO,13.0,14.33,16.79,10.59,16.59
UTA,12.67,14.67,15.6,9.67,16.32
IND,12.67,14.67,15.96,9.99,17.57
BRK,12.67,14.67,16.08,10.23,17.16
MIA,12.33,15.0,15.53,9.62,16.26
CHO,11.0,16.33,15.44,9.71,16.54
DET,10.67,16.67,16.15,10.14,17.71
DEN,10.0,17.33,16.64,10.33,17.88
SAC,9.67,17.67,16.62,10.03,16.67
ORL,8.33,19.0,15.69,10.25,16.92
LAL,7.0,20.33,16.15,10.18,17.15
PHI,6.0,21.33,15.08,9.22,16.83
NYK,5.67,21.67,15.07,9.61,17.46
